x1_PD009_right,y1_PD009_right,x2_PD009_right,y2_PD009_right,x1_PD012_left,y1_PD012_left,x2_PD012_left,y2_PD012_left,x1_PD004_left,y1_PD004_left,x2_PD004_left,y2_PD004_left,x1_PD013_right,y1_PD013_right,x2_PD013_right,y2_PD013_right,x1_PD002_left,y1_PD002_left,x2_PD002_left,y2_PD002_left,x1_PD008_right,y1_PD008_right,x2_PD008_right,y2_PD008_right,x1_PD011_right,y1_PD011_right,x2_PD011_right,y2_PD011_right,x1_PD003_left,y1_PD003_left,x2_PD003_left,y2_PD003_left,x1_PD001_right,y1_PD001_right,x2_PD001_right,y2_PD001_right,x1_PD006_left,y1_PD006_left,x2_PD006_left,y2_PD006_left,x1_PD010_left,y1_PD010_left,x2_PD010_left,y2_PD010_left,x1_PD007_right,y1_PD007_right,x2_PD007_right,y2_PD007_right,x1_PD005_right,y1_PD005_right,x2_PD005_right,y2_PD005_right
0.1033,-0.8871,0.1033,0.8468,0.1033,0.8468,0.1033,0.746,0.1033,0.6855,0.1033,1.25,0.1033,-0.4839,0.1033,-0.9476,0.1033,0.0806,0.1033,-1.1895,0.1033,1.3911,0.1033,0.6452,0.1033,-1.7944,0.1033,0.9073,0.1033,-0.7258,0.1033,2.4798,0.1033,0.5847,0.1033,0.6048,0.1033,-1.0282,0.1033,-0.0806,0.1033,0.4435,0.1033,0.2621,0.1033,0.2016,0.1033,-0.9073,0.1033,0.1411,0.1033,0.4839
0.1067,-0.9073,0.1067,0.4637,0.1067,0.9879,0.1067,0.6048,0.1067,1.1694,0.1067,1.1895,0.1067,-0.5847,0.1067,-1.0081,0.1067,0.1815,0.1067,-1.4516,0.1067,1.2903,0.1067,0.6653,0.1067,-1.754,0.1067,1.0081,0.1067,-0.6048,0.1067,2.4798,0.1067,0.4839,0.1067,1.0484,0.1067,-0.8468,0.1067,-0.2621,0.1067,0.4637,0.1067,-0.0806,0.1067,0.2621,0.1067,-0.9073,0.1067,0.2218,0.1067,0.3226
0.11,-0.7863,0.11,0.7863,0.11,0.8266,0.11,0.625,0.11,0.9476,0.11,1.2903,0.11,-0.4637,0.11,-1.0081,0.11,0.0202,0.11,-1.2298,0.11,1.3105,0.11,0.746,0.11,-1.7137,0.11,0.9073,0.11,-0.6452,0.11,2.4798,0.11,0.6653,0.11,1.0685,0.11,-1.0887,0.11,-0.121,0.11,0.5847,0.11,0.0,0.11,0.1008,0.11,-0.8266,0.11,0.121,0.11,0.4637
0.1133,-0.9274,0.1133,0.504,0.1133,0.9476,0.1133,0.7863,0.1133,1.0484,0.1133,1.0887,0.1133,-0.5645,0.1133,-0.9476,0.1133,-0.2016,0.1133,-1.0887,0.1133,1.2903,0.1133,0.5444,0.1133,-1.875,0.1133,0.9274,0.1133,-0.6452,0.1133,2.5403,0.1133,0.6855,0.1133,0.746,0.1133,-0.8468,0.1133,-0.0605,0.1133,0.5847,0.1133,0.0202,0.1133,0.121,0.1133,-0.9274,0.1133,0.1815,0.1133,0.4839
0.1167,-0.8669,0.1167,0.746,0.1167,0.9476,0.1167,0.7863,0.1167,1.3306,0.1167,1.0282,0.1167,-0.5847,0.1167,-1.0887,0.1167,0.1411,0.1167,-1.0081,0.1167,1.2298,0.1167,0.7258,0.1167,-1.8145,0.1167,0.9879,0.1167,-0.625,0.1167,2.5,0.1167,0.8266,0.1167,0.9677,0.1167,-1.0685,0.1167,-0.1815,0.1167,0.504,0.1167,0.2016,0.1167,0.0806,0.1167,-0.4637,0.1167,0.1411,0.1167,0.4435
0.12,-1.0887,0.12,0.4637,0.12,1.0282,0.12,0.6855,0.12,1.1694,0.12,1.0484,0.12,-0.4435,0.12,-0.9274,0.12,0.3024,0.12,-1.371,0.12,1.2298,0.12,0.5645,0.12,-1.8548,0.12,0.9677,0.12,-0.6048,0.12,2.5403,0.12,0.504,0.12,0.8669,0.12,-0.9879,0.12,-0.2218,0.12,0.5847,0.12,0.0,0.12,0.2016,0.12,0.1008,0.12,0.3226,0.12,0.3427
0.1233,-0.9073,0.1233,1.3105,0.1233,1.129,0.1233,0.7056,0.1233,0.8065,0.1233,0.9879,0.1233,-0.625,0.1233,-0.9677,0.1233,0.0202,0.1233,-0.9274,0.1233,1.3508,0.1233,0.6855,0.1233,-1.8347,0.1233,1.0081,0.1233,-0.5444,0.1233,2.4798,0.1233,0.5645,0.1233,0.8669,0.1233,-0.8669,0.1233,0.0202,0.1233,0.504,0.1233,0.2419,0.1233,0.0605,0.1233,0.8669,0.1233,0.2218,0.1233,0.5847
0.1267,-0.8266,0.1267,1.7339,0.1267,1.0887,0.1267,0.6452,0.1267,1.1895,0.1267,1.0484,0.1267,-0.3629,0.1267,-0.9274,0.1267,0.0605,0.1267,-1.2097,0.1267,1.3306,0.1267,0.625,0.1267,-1.6734,0.1267,1.0282,0.1267,-0.625,0.1267,2.6008,0.1267,0.9677,0.1267,0.8669,0.1267,-0.8468,0.1267,-0.1815,0.1267,0.3629,0.1267,0.0806,0.1267,0.121,0.1267,1.5323,0.1267,0.3024,0.1267,0.3629
0.13,-0.3831,0.13,1.8548,0.13,1.129,0.13,0.5645,0.13,0.8065,0.13,1.25,0.13,-0.4435,0.13,-0.9073,0.13,0.2823,0.13,-0.8669,0.13,1.25,0.13,0.746,0.13,-1.6129,0.13,0.9476,0.13,-0.5444,0.13,2.5202,0.13,0.4435,0.13,1.0887,0.13,-0.9073,0.13,-0.3226,0.13,0.504,0.13,0.121,0.13,0.1411,0.13,1.9153,0.13,0.1411,0.13,0.3629
0.1333,0.4839,0.1333,1.9153,0.1333,1.0887,0.1333,0.7258,0.1333,1.0887,0.1333,1.0282,0.1333,-0.5444,0.1333,-1.0081,0.1333,0.0202,0.1333,-1.0685,0.1333,1.4113,0.1333,0.625,0.1333,-1.6935,0.1333,1.1089,0.1333,-0.504,0.1333,2.6008,0.1333,0.8266,0.1333,0.8266,0.1333,-0.9073,0.1333,-0.1008,0.1333,0.7056,0.1333,-0.1008,0.1333,0.3226,0.1333,1.875,0.1333,0.1411,0.1333,0.4637
0.1367,0.625,0.1367,2.1573,0.1367,0.9274,0.1367,0.6452,0.1367,0.9274,0.1367,1.0484,0.1367,-0.504,0.1367,-1.0282,0.1367,0.0,0.1367,-1.1895,0.1367,1.4718,0.1367,0.746,0.1367,-1.7944,0.1367,1.1089,0.1367,-0.4935,0.1367,2.5605,0.1367,0.746,0.1367,0.8065,0.1367,-0.9073,0.1367,-0.1613,0.1367,0.8468,0.1367,0.0403,0.1367,0.2621,0.1367,1.7339,0.1367,0.2016,0.1367,0.2419
0.14,0.2823,0.14,2.3185,0.14,1.0282,0.14,0.625,0.14,1.0685,0.14,0.9677,0.14,-0.5847,0.14,-1.0081,0.14,-0.0403,0.14,-0.9073,0.14,1.2903,0.14,0.7056,0.14,-1.7137,0.14,1.0887,0.14,-0.483,0.14,2.6613,0.14,0.5444,0.14,0.9677,0.14,-0.9879,0.14,-0.121,0.14,0.3629,0.14,0.0,0.14,0.2016,0.14,1.4718,0.14,0.1815,0.14,0.4032
0.1433,0.2823,0.1433,2.379,0.1433,0.9274,0.1433,0.5645,0.1433,1.1089,0.1433,0.8871,0.1433,-0.5645,0.1433,-1.0887,0.1433,-0.4032,0.1433,-1.1492,0.1433,1.3105,0.1433,0.5645,0.1433,-1.5927,0.1433,1.1492,0.1433,-0.4725,0.1433,2.7218,0.1433,0.4637,0.1433,0.9274,0.1433,-0.8468,0.1433,-0.121,0.1433,0.5645,0.1433,-0.2823,0.1433,0.1815,0.1433,1.4516,0.1433,0.1613,0.1433,0.504
0.1467,0.1008,0.1467,2.3185,0.1467,0.9879,0.1467,0.7056,0.1467,1.0282,0.1467,1.129,0.1467,-0.5645,0.1467,-0.9879,0.1467,0.0806,0.1467,-1.2903,0.1467,1.3911,0.1467,0.746,0.1467,-1.7137,0.1467,1.0484,0.1467,-0.462,0.1467,2.7621,0.1467,0.8065,0.1467,0.9879,0.1467,-0.6048,0.1467,-0.1008,0.1467,0.4435,0.1467,0.0806,0.1467,0.7258,0.1467,1.2903,0.1467,0.2218,0.1467,0.4234
