x1_PDPW112,y1_PDPW112,x2_PDPW112,y2_PDPW112,x1_PDQE107,y1_PDQE107,x2_PDQE107,y2_PDQE107,x1_PDPY101,y1_PDPY101,x2_PDPY101,y2_PDPY101,x1_PDQE108,y1_PDQE108,x2_PDQE108,y2_PDQE108,x1_PDQE115,y1_PDQE115,x2_PDQE115,y2_PDQE115,x1_PDQE112,y1_PDQE112,x2_PDQE112,y2_PDQE112,x1_PDQE113,y1_PDQE113,x2_PDQE113,y2_PDQE113,x1_PDPW107,y1_PDPW107,x2_PDPW107,y2_PDPW107,x1_PDPW106,y1_PDPW106,x2_PDPW106,y2_PDPW106,x1_PDPW111,y1_PDPW111,x2_PDPW111,y2_PDPW111,x1_PDPW110,y1_PDPW110,x2_PDPW110,y2_PDPW110,x1_PDQE104,y1_PDQE104,x2_PDQE104,y2_PDQE104,x1_PDQE105,y1_PDQE105,x2_PDQE105,y2_PDQE105,x1_PDQE102,y1_PDQE102,x2_PDQE102,y2_PDQE102,x1_PDPW102,y1_PDPW102,x2_PDPW102,y2_PDPW102
0.1033,0.8266,0.1033,-7.8831,0.1033,0.4637,0.1033,,0.1033,1.2702,0.1033,,0.1033,2.3953,0.1033,1.1492,0.1033,0.3226,0.1033,-1.4919,0.1033,-1.3508,0.1033,-0.9879,0.1033,1.4516,0.1033,-1.371,0.1033,0.7258,0.1033,,0.1033,-1.0887,0.1033,,0.1033,0.7863,0.1033,1.1694,0.1033,,0.1033,-0.0022,0.1033,0.6855,0.1033,0.8468,0.1033,-2.1976,0.1033,0.5444,0.1033,0.0605,0.1033,0.5242,0.1033,-0.504,0.1033,-0.9476
0.1067,0.9073,0.1067,-7.9234,0.1067,0.3629,0.1067,,0.1067,1.3105,0.1067,,0.1067,2.3922,0.1067,1.1694,0.1067,0.4234,0.1067,-1.1492,0.1067,-0.8468,0.1067,-1.1089,0.1067,1.6331,0.1067,-1.371,0.1067,0.6653,0.1067,,0.1067,-1.1089,0.1067,,0.1067,0.6855,0.1067,1.1694,0.1067,,0.1067,0.0234,0.1067,0.7056,0.1067,0.3427,0.1067,-2.2379,0.1067,0.5847,0.1067,0.0202,0.1067,1.1492,0.1067,-0.5242,0.1067,-0.9677
0.11,0.7863,0.11,-7.9032,0.11,0.5444,0.11,,0.11,1.1895,0.11,,0.11,2.389,0.11,1.2702,0.11,0.4637,0.11,-1.5323,0.11,-1.2298,0.11,-1.4516,0.11,1.2702,0.11,-1.2298,0.11,0.5242,0.11,,0.11,-1.0887,0.11,,0.11,0.746,0.11,1.3306,0.11,,0.11,0.049,0.11,0.9073,0.11,0.5242,0.11,-2.4597,0.11,0.4839,0.11,0.0202,0.11,0.746,0.11,-0.3226,0.11,-1.0081
0.1133,0.8871,0.1133,-7.8831,0.1133,0.5645,0.1133,,0.1133,1.3105,0.1133,,0.1133,2.3859,0.1133,1.2097,0.1133,0.4839,0.1133,-1.2702,0.1133,-1.2298,0.1133,-0.9073,0.1133,1.371,0.1133,-1.1492,0.1133,0.6855,0.1133,1.0484,0.1133,-0.9677,0.1133,,0.1133,0.6855,0.1133,1.2702,0.1133,,0.1133,0.0745,0.1133,0.9073,0.1133,0.9476,0.1133,-2.3589,0.1133,0.4032,0.1133,0.2016,0.1133,0.746,0.1133,-0.4032,0.1133,-1.129
0.1167,0.8065,0.1167,-7.8226,0.1167,0.5847,0.1167,,0.1167,1.25,0.1167,,0.1167,2.3827,0.1167,1.129,0.1167,0.5847,0.1167,-1.5927,0.1167,-1.3306,0.1167,-1.1694,0.1167,1.2298,0.1167,-1.4113,0.1167,0.6452,0.1167,1.0282,0.1167,-1.0081,0.1167,,0.1167,0.7258,0.1167,1.2903,0.1167,,0.1167,0.1001,0.1167,0.8669,0.1167,0.4637,0.1167,-2.0363,0.1167,0.4234,0.1167,0.3024,0.1167,1.0887,0.1167,-0.2016,0.1167,-1.2097
0.12,0.8871,0.12,-7.9234,0.12,0.5242,0.12,,0.12,1.1089,0.12,,0.12,2.3796,0.12,1.1895,0.12,0.4839,0.12,-1.0282,0.12,-1.0685,0.12,-1.371,0.12,1.5726,0.12,-1.1694,0.12,0.6855,0.12,0.9677,0.12,-1.0282,0.12,,0.12,0.7661,0.12,1.1895,0.12,,0.12,0.1256,0.12,1.0081,0.12,0.3629,0.12,-2.2984,0.12,0.5847,0.12,0.5847,0.12,1.0081,0.12,-0.5242,0.12,-0.9879
0.1233,0.8669,0.1233,-7.9637,0.1233,0.4234,0.1233,,0.1233,1.25,0.1233,,0.1233,2.3764,0.1233,1.25,0.1233,0.6653,0.1233,-0.9476,0.1233,-0.9476,0.1233,-0.9879,0.1233,1.3508,0.1233,-1.6331,0.1233,0.625,0.1233,0.9476,0.1233,-1.0685,0.1233,,0.1233,0.6855,0.1233,1.3105,0.1233,,0.1233,0.1512,0.1233,0.625,0.1233,0.7056,0.1233,-2.0766,0.1233,0.9073,0.1233,0.2419,0.1233,0.9677,0.1233,-0.4032,0.1233,-0.9274
0.1267,0.8065,0.1267,-8.0645,0.1267,0.5444,0.1267,,0.1267,1.5121,0.1267,,0.1267,2.3732,0.1267,1.2097,0.1267,0.5645,0.1267,-1.2298,0.1267,-1.1694,0.1267,-0.7661,0.1267,1.3105,0.1267,-1.5121,0.1267,0.5645,0.1267,0.8871,0.1267,-0.9879,0.1267,,0.1267,0.8468,0.1267,1.4113,0.1267,,0.1267,0.1768,0.1267,0.8266,0.1267,0.5847,0.1267,-2.3185,0.1267,0.8468,0.1267,0.0403,0.1267,0.8468,0.1267,-0.2016,0.1267,-1.0282
0.13,0.8266,0.13,-7.8831,0.13,0.504,0.13,,0.13,1.25,0.13,,0.13,2.3701,0.13,1.3306,0.13,0.3226,0.13,-0.5847,0.13,-0.9274,0.13,-1.1089,0.13,1.4919,0.13,-1.754,0.13,0.6653,0.13,0.7863,0.13,-0.9879,0.13,,0.13,0.746,0.13,1.2903,0.13,,0.13,0.2023,0.13,1.2903,0.13,0.4839,0.13,-2.1371,0.13,0.5847,0.13,0.121,0.13,0.7056,0.13,-0.3427,0.13,-0.9274
0.1333,0.9677,0.1333,-7.9839,0.1333,0.4435,0.1333,,0.1333,1.3306,0.1333,,0.1333,2.3669,0.1333,1.4315,0.1333,0.504,0.1333,-0.1411,0.1333,-1.3105,0.1333,-1.0484,0.1333,1.5323,0.1333,-2.3185,0.1333,0.3629,0.1333,1.2097,0.1333,-1.0484,0.1333,,0.1333,0.6653,0.1333,1.129,0.1333,,0.1333,0.2279,0.1333,1.0081,0.1333,0.746,0.1333,-2.4395,0.1333,0.4637,0.1333,0.4637,0.1333,0.8468,0.1333,-0.2419,0.1333,-0.9879
0.1367,0.8669,0.1367,-8.0444,0.1367,0.5242,0.1367,,0.1367,1.4718,0.1367,,0.1367,2.3638,0.1367,1.129,0.1367,0.6452,0.1367,-0.504,0.1367,-1.2298,0.1367,-0.9476,0.1367,1.3306,0.1367,-2.4798,0.1367,0.5242,0.1367,0.9677,0.1367,-1.0282,0.1367,0.1815,0.1367,0.7258,0.1367,1.3306,0.1367,,0.1367,0.2535,0.1367,1.129,0.1367,0.4839,0.1367,-2.2782,0.1367,0.7258,0.1367,0.0,0.1367,0.8468,0.1367,-0.3226,0.1367,-0.9677
0.14,0.8871,0.14,-8.0242,0.14,0.4637,0.14,,0.14,1.7137,0.14,,0.14,2.3606,0.14,1.2702,0.14,0.4637,0.14,0.0605,0.14,-1.3306,0.14,-0.9073,0.14,1.4919,0.14,-2.7419,0.14,0.7258,0.14,1.0081,0.14,-1.1089,0.14,0.1411,0.14,0.746,0.14,1.3508,0.14,,0.14,0.279,0.14,0.8468,0.14,0.5242,0.14,-2.1976,0.14,0.3831,0.14,0.3024,0.14,0.9274,0.14,-0.2823,0.14,-1.1895
